FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/MessageImplEvoSuiteTest.java,MessageImplEvoSuiteTest.java,MessageImplEvoSuiteTest,6,1,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/ElementImplEvoSuiteTest.java,ElementImplEvoSuiteTest.java,ElementImplEvoSuiteTest,8,1,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/WriterImplEvoSuiteTest.java,WriterImplEvoSuiteTest.java,WriterImplEvoSuiteTest,13,10,23,10,10,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/XisemeleImplEvoSuiteTest.java,XisemeleImplEvoSuiteTest.java,XisemeleImplEvoSuiteTest,7,1,2,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/WriterEditorImplEvoSuiteTest.java,WriterEditorImplEvoSuiteTest.java,WriterEditorImplEvoSuiteTest,8,2,4,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/FactoryImplEvoSuiteTest.java,FactoryImplEvoSuiteTest.java,FactoryImplEvoSuiteTest,35,18,57,13,13,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/NullErrorHandlerEvoSuiteTest.java,NullErrorHandlerEvoSuiteTest.java,NullErrorHandlerEvoSuiteTest,9,3,8,3,3,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/EditorImplEvoSuiteTest.java,EditorImplEvoSuiteTest.java,EditorImplEvoSuiteTest,16,21,45,21,21,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/ReaderImplEvoSuiteTest.java,ReaderImplEvoSuiteTest.java,ReaderImplEvoSuiteTest,7,1,2,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/31_xisemele/evosuite-tests/net/sf/xisemele/impl/OperationsImplEvoSuiteTest.java,OperationsImplEvoSuiteTest.java,OperationsImplEvoSuiteTest,9,10,32,10,10,0,true,true,false,false,true,false,false,true,false,false
