FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/diffi/MainEvoSuiteTest.java,MainEvoSuiteTest.java,MainEvoSuiteTest,6,2,2,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/relativestring/RelativeStringEvoSuiteTest.java,RelativeStringEvoSuiteTest.java,RelativeStringEvoSuiteTest,11,8,28,7,7,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/relativestring/StringLinkEvoSuiteTest.java,StringLinkEvoSuiteTest.java,StringLinkEvoSuiteTest,6,6,21,5,5,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/StringIncrementorEvoSuiteTest.java,StringIncrementorEvoSuiteTest.java,StringIncrementorEvoSuiteTest,8,10,33,9,9,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/helper/StringFromFileEvoSuiteTest.java,StringFromFileEvoSuiteTest.java,StringFromFileEvoSuiteTest,6,2,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/helper/ExtBoolArrayEvoSuiteTest.java,ExtBoolArrayEvoSuiteTest.java,ExtBoolArrayEvoSuiteTest,6,5,24,4,4,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/stringincrementor/helper/IndexedStringEvoSuiteTest.java,IndexedStringEvoSuiteTest.java,IndexedStringEvoSuiteTest,6,4,19,3,3,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/commandline/OptionEvoSuiteTest.java,OptionEvoSuiteTest.java,OptionEvoSuiteTest,6,14,87,13,13,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/commandline/CommandLineEvoSuiteTest.java,CommandLineEvoSuiteTest.java,CommandLineEvoSuiteTest,7,3,24,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/evosuite-tests/de/beiri22/filedp/FileDiffPatchEvoSuiteTest.java,FileDiffPatchEvoSuiteTest.java,FileDiffPatchEvoSuiteTest,6,6,7,5,5,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/diffi/MainEvoSuiteTest.java,MainEvoSuiteTest.java,MainEvoSuiteTest,6,2,2,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/relativestring/RelativeStringEvoSuiteTest.java,RelativeStringEvoSuiteTest.java,RelativeStringEvoSuiteTest,11,8,28,7,7,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/relativestring/StringLinkEvoSuiteTest.java,StringLinkEvoSuiteTest.java,StringLinkEvoSuiteTest,6,6,21,5,5,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/StringIncrementorEvoSuiteTest.java,StringIncrementorEvoSuiteTest.java,StringIncrementorEvoSuiteTest,8,10,33,9,9,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/helper/StringFromFileEvoSuiteTest.java,StringFromFileEvoSuiteTest.java,StringFromFileEvoSuiteTest,6,2,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/helper/ExtBoolArrayEvoSuiteTest.java,ExtBoolArrayEvoSuiteTest.java,ExtBoolArrayEvoSuiteTest,6,5,24,4,4,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/stringincrementor/helper/IndexedStringEvoSuiteTest.java,IndexedStringEvoSuiteTest.java,IndexedStringEvoSuiteTest,6,4,19,3,3,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/commandline/OptionEvoSuiteTest.java,OptionEvoSuiteTest.java,OptionEvoSuiteTest,6,14,87,13,13,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/commandline/CommandLineEvoSuiteTest.java,CommandLineEvoSuiteTest.java,CommandLineEvoSuiteTest,7,3,24,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/39_diffi/src/test/java/de/beiri22/filedp/FileDiffPatchEvoSuiteTest.java,FileDiffPatchEvoSuiteTest.java,FileDiffPatchEvoSuiteTest,6,6,7,5,5,0,true,true,false,false,true,false,false,true,false,false
