FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/org/mozilla/javascript/TokenEvoSuiteTest.java,TokenEvoSuiteTest.java,TokenEvoSuiteTest,6,3,6,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/org/mozilla/javascript/DecompilerEvoSuiteTest.java,DecompilerEvoSuiteTest.java,DecompilerEvoSuiteTest,7,60,175,59,59,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/org/mozilla/javascript/ParserEvoSuiteTest.java,ParserEvoSuiteTest.java,ParserEvoSuiteTest,16,30,122,29,29,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/org/mozilla/javascript/TokenStreamEvoSuiteTest.java,TokenStreamEvoSuiteTest.java,TokenStreamEvoSuiteTest,20,54,225,53,53,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/ScriptOrFnScopeEvoSuiteTest.java,ScriptOrFnScopeEvoSuiteTest.java,ScriptOrFnScopeEvoSuiteTest,6,8,36,7,7,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/CssCompressorEvoSuiteTest.java,CssCompressorEvoSuiteTest.java,CssCompressorEvoSuiteTest,13,4,18,3,3,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/JavaScriptTokenEvoSuiteTest.java,JavaScriptTokenEvoSuiteTest.java,JavaScriptTokenEvoSuiteTest,6,3,8,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/BootstrapEvoSuiteTest.java,BootstrapEvoSuiteTest.java,BootstrapEvoSuiteTest,6,2,2,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/JavaScriptCompressorEvoSuiteTest.java,JavaScriptCompressorEvoSuiteTest.java,JavaScriptCompressorEvoSuiteTest,16,6,25,5,5,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/22_byuic/evosuite-tests/com/yahoo/platform/yui/compressor/YUICompressorEvoSuiteTest.java,YUICompressorEvoSuiteTest.java,YUICompressorEvoSuiteTest,6,2,3,1,1,0,true,true,false,false,true,false,false,true,false,false
