FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/taglib/tag/repeater/SeparatorTemplateTagEvoSuiteTest.java,SeparatorTemplateTagEvoSuiteTest.java,SeparatorTemplateTagEvoSuiteTest,9,3,8,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/taglib/tag/repeater/ItemTemplateTagEvoSuiteTest.java,ItemTemplateTagEvoSuiteTest.java,ItemTemplateTagEvoSuiteTest,9,3,8,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/taglib/tag/repeater/RepeaterTagEvoSuiteTest.java,RepeaterTagEvoSuiteTest.java,RepeaterTagEvoSuiteTest,7,2,4,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/taglib/tag/repeater/HeaderTemplateTagEvoSuiteTest.java,HeaderTemplateTagEvoSuiteTest.java,HeaderTemplateTagEvoSuiteTest,9,3,8,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/ExtrasLoggingFilterEvoSuiteTest.java,ExtrasLoggingFilterEvoSuiteTest.java,ExtrasLoggingFilterEvoSuiteTest,16,4,11,3,3,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/ServerEvoSuiteTest.java,ServerEvoSuiteTest.java,ServerEvoSuiteTest,6,7,19,6,6,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/logback/converter/CookieConverterEvoSuiteTest.java,CookieConverterEvoSuiteTest.java,CookieConverterEvoSuiteTest,8,3,11,2,2,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/logback/ExtPatternLayoutEvoSuiteTest.java,ExtPatternLayoutEvoSuiteTest.java,ExtPatternLayoutEvoSuiteTest,6,2,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/logback/SpringRequestInfoExtractorEvoSuiteTest.java,SpringRequestInfoExtractorEvoSuiteTest.java,SpringRequestInfoExtractorEvoSuiteTest,6,2,3,1,1,0,true,true,false,false,true,false,false,true,false,false
/Users/Downloads/./SF110-20130704-src/71_ext4j/evosuite-tests/net/sourceforge/ext4j/log/logback/StubRequestInfoExtractorEvoSuiteTest.java,StubRequestInfoExtractorEvoSuiteTest.java,StubRequestInfoExtractorEvoSuiteTest,6,7,19,6,6,0,true,true,false,false,true,false,false,true,false,false
